cds_id,knownNP id,PID,length,evalue
1,42,80.00,10,2e-04
2,42,100.00,10,7e-06
3,3,100.00,9,1e-04
4,44,100.00,9,8e-05
5,42,90.00,10,4e-05
6,28,100.00,9,8e-05
7,9,100.00,9,5e-05
8,42,90.00,10,2e-05
9,42,100.00,9,3e-05
10,39,100.00,9,8e-05
11,23,100.00,9,5e-05
12,45,100.00,9,9e-05
13,42,90.00,10,5e-05
14,30,100.00,9,3e-05
15,55,100.00,9,9e-05
16,40,100.00,9,5e-05
17,26,100.00,9,7e-05
18,49,100.00,9,5e-05
19,42,80.00,10,5e-05
20,52,100.00,9,5e-05
21,33,100.00,9,1e-04
22,59,100.00,9,6e-05
23,10,100.00,9,4e-05
24,63,100.00,8,3e-04
